INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Kotak Bank,Indian Private Sector Banks,6,5 years and above upto 7 years,Rs. 10 cr and above to Less than Rs. 25 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,6,5 years and above upto 7 years,Rs. 25 cr and above,General,Taxable
Kotak Bank,Indian Private Sector Banks,6,5 years and above upto 7 years,Rs. 5 cr and above to Less than Rs. 10 cr,General,Taxable
Karur Vysya Bank,Indian Private Sector Banks,6,46 Days to 90 days�,Less than Rs. 1 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,6,46 days to 90 days,Less than Rs. 1 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,6,46 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Nainital Bank,Indian Private Sector Banks,6,46 days to 90 days,Less than Rs. 15 lakh,General,Taxable
Nainital Bank,Indian Private Sector Banks,6,31 days to 45 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,6,91 days to 179 days,Less than Rs. 1 cr,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,6,46 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,6,181 days to 270 days,Less than Rs. 25 lakh,General,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,6,181 days to 270 days,Less than Rs. 25 lakh,Senior Citizen,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,6,91 days to 179 days,Less than Rs. 1 cr,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,6,151 days to 179 days,Less than Rs. 1cr,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,6,91 days to 150 days,Less than Rs. 1cr,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,6,46 days to 90 days,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,6,7 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,6,7 days to 45 days,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,6,121 days to 179 days,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,6,61 days to 90 days,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,6,91 days to 120 days,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,6,7 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,6,7 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,6,45 days to 47 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,6,48 days to 50 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,6,51 days to 53 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,6,54 days to 56 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,6,57 days to 59 days,Less than Rs. 1 cr,General,Taxable
South Indian Bank,Indian Private Sector Banks,6,91 days to�less than 1 year,Less than Rs. 1 cr,General,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,6,7 days to 45 days,Less than Rs. 1cr,Senior Citizen,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,6,181 days to 364 days,Less than Rs. 1 cr,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6,46 days to 60 days,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6,61 days to 90 days,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6,46 days to 60 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6,61 days to 90 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
United Bank of India,Public Sector / Nationalized Banks,6,270 days to less than 1 years,Less than Rs. 1 cr,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,6,270 days to less than 1 years,Less than Rs. 1 cr,Senior Citizen,Taxable
UCO Bank,Public Sector / Nationalized Banks,6,121 days to 150 days,less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,6,151 days to 180 days,less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,6,91 days to 120 days,less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,6,46 days to 60 days,less than Rs. 1 cr,Senior Citizen,Taxable
UCO Bank,Public Sector / Nationalized Banks,6,61 days to 90 days,less than Rs. 1 cr,Senior Citizen,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,6,181 days to less than 1 year,Less than Rs. 1 cr,General,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,6,91 days to 180 days,Less than Rs. 1 cr,General,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,6,181 days to less than 1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,6,91 days to 180 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,6,Mahabank Tax Saving Scheme - 5 Years,Upto Rs. 1 lakh,General,Tax Saving
HDFC Bank,Indian Private Sector Banks,6,HDFC Bank Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,General,Tax Saving
Indian Bank,Public Sector / Nationalized Banks,6,IB Tax Saver schemes - 5 Years,Upto Rs. 1 lakh,General,Tax Saving
IDBI Bank,Public Sector / Nationalized Banks,6,Suvidha Tax Saving Fixed Deposits - 5 YEARS,Upto Rs. 1 lakh,General,Tax Saving
Indian Overseas Bank,Public Sector / Nationalized Banks,6,IOB Tax Saver Deposit Scheme - 5 Years,Upto Rs. 1 lakh,General,Tax Saving
Kotak Bank,Indian Private Sector Banks,6,Tax Saving Deposits - 5 year upto 10 year,Upto Rs. 1 lakh,General,Tax Saving
Deutsche Bank,Foreign Banks,5.95,181 days to 270 days,Less than Rs. 1 cr,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,5.95,46 days to 60 days,15 lakh and above,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,5.95,61 days to 90 days,15 lakh and above,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,5.95,46 days to 60 days,15 lakh and above,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,5.95,61 days to 90 days,15 lakh and above,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.9,Above 2 to less than 5 yrs,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,5.85,46 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,5.85,46 days to 90 days,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,5.75,91 days to 180 days,Less than Rs. 15 lakh,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,5.75,46 days to 90 days,Less than Rs. 1 cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,5.75,121 days to 179 days,Less than Rs. 1cr,General,Taxable
Corporation Bank,Public Sector / Nationalized Banks,5.75,46 days to 60 days,Less than Rs. 1 cr,General,Taxable
Corporation Bank,Public Sector / Nationalized Banks,5.75,61 days to 90 days,Less than Rs. 1 cr,General,Taxable
Corporation Bank,Public Sector / Nationalized Banks,5.75,46 days to 60 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Corporation Bank,Public Sector / Nationalized Banks,5.75,61 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.75,15 days to 30 days,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.75,180 days to 270 days,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.75,271 days to 364 days,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.75,31 days to 45 days,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.75,46 days to 59 days,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.75,60 days to 90 days,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.75,91 days to 179 days,Less than Rs. 10cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.75,1096 days and above,Less than Rs. 1 cr,General,Taxable
Citi Bank,Foreign Banks,5.75,181 days to 270 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.75,271 days to 364 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.75,365 days to 400 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.75,401 days to 540 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.75,541 days to 731 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.75,732 days to 1095 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Catholic Syrian Bank,Indian Private Sector Banks,5.75,180 days to less than 1 years,Rs. 1 cr and above,General,Taxable
Deutsche Bank,Foreign Banks,5.75,101 days to 180 days,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,5.75,90 days to 99 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,5.75,46 days To 60 days,Less than Rs. 1cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,5.75,61 days To 90 days,Less than Rs. 1cr,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,46 days to 60 days,Less than Rs. 1 cr,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,61 days to 90 days,Less than Rs. 1 cr,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,91 days to less than 6 months,Less than Rs. 1 cr,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,6 months 1 day to 6 months 3 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,6 months 5 days to 9 months,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,9 mnths 1 day 9 months 3 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,9 mnths 17 day- less 1 Year,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,9 months 16 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,9 months 5 days - 9 months 15 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.75,91 days to less than 6 months,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.75,181 days to less than 9 months,less then Rs. 1cr,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.75,121 days to 180 days,less then Rs. 1cr,Senior Citizen,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.75,91 days to 120 days,less then Rs. 1cr,Senior Citizen,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.75,1 year,Rs. 1 cr to 5 crs,General,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,5.75,180 days to 269 days,Upto Rs. 1 cr,General,Taxable
J&K Bank,Indian Private Sector Banks,5.75,1 years to less than 3 years,Rs. 1 cr to less than Rs. 5 cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,5.75,3 years to less than 5 years,Rs. 1 cr to less than Rs. 5 cr,Senior Citizen,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,5.75,91 days to 270 days,Less than Rs. 15 lakh,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.75,46 days to 60 days,Rs. 10 cr and above to Less than Rs. 25 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.75,61 days to 90 days,Rs. 10 cr and above to Less than Rs. 25 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.75,46 days to 60 days,Rs. 25 cr and above,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.75,61 days to 90 days,Rs. 25 cr and above,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.75,46 days to 60 days,Rs. 5 cr and above to Less than Rs. 10 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.75,61 days to 90 days,Rs. 5 cr and above to Less than Rs. 10 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,5.75,46 days to 90 days,Less than Rs. 1 cr,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,5.75,15 days to 45 days,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,5.75,15 days to 45 days,Rs. 1 cr and above to upto Rs 3 cr,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,5.75,7 days to 14 days,Rs. 1 cr and above to upto Rs 3 cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.75,1 year exact,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.75,Above 1 yr to 2 years,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.75,Above 5 yrs up to 10 yrs,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.75,Exact 5 yrs,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.75,30 days to 32 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,5.75,33 days to 35 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,5.75,36 days to 38 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,5.75,39 days to 41 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,5.75,42 days to 44 days,Less than Rs. 1 cr,Senior Citizen,Taxable
United Bank of India,Public Sector / Nationalized Banks,5.75,181 days to 269 days,Less than Rs. 1 cr,General,Taxable
United Bank of India,Public Sector / Nationalized Banks,5.75,181 days to 269 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,5.75,7 days to 45 days,Less than Rs. 1cr,General,Taxable
Citi Bank,Foreign Banks,5.75,Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,General,Tax Saving
Deutsche Bank,Foreign Banks,5.7,100 days,Less than Rs. 1 cr,General,Taxable
Federal Bank,Indian Private Sector Banks,5.7,61 days to 90 days,Less than Rs. 1 cr,General,Taxable
South Indian Bank,Indian Private Sector Banks,5.65,46 days to�90 days,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,5.5,15 days to 29 days,Above Rs. 1 cr to 5 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Above Rs. 1 cr to 5 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,5.5,7 days to 14 days,Above Rs. 1 cr to 5 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Rs. 10 cr to less than Rs. 25 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Rs. 100 cr and above,General,Taxable
Axis Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Rs. 25 cr to less than Rs. 50 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Rs. 5 cr to less than Rs. 10 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Allahabad Bank,Public Sector / Nationalized Banks,5.5,46 days to 60 days,Less than Rs. 1 crore,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,5.5,46 days to 90 days,Less than Rs. 1 crore,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,61 days to 90 days,15 lakh and above Less than Rs. 1 cr,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,91 days to 180 days,15 lakh and above Less than Rs. 1 cr,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,61 days to 90 days,15 lakh and above Less than Rs. 1 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,91 days to 180 days,15 lakh and above Less than Rs. 1 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,61 days to 90 days,Less than Rs. 15 lakh,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,91 days to 180 days,Less than Rs. 15 lakh,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,61 days to 90 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,91 days to 180 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,61 days to 90 days,Rs. 1 cr and above,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,5.5,91 days to 180 days,Rs. 1 cr and above,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,5.5,91 days to 120 days,Less than Rs. 1cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.5,1 year� to less than 2 years,Less than Rs. 10cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.5,2 years to less than 3 years,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.5,3 year to less than 5 years,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.5,5 years and above upto 10 years,Less than Rs. 10cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.5,15 days to 30 days,Less than Rs. 1cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.5,31 days to 45 days,Less than Rs. 1cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.5,46 days to 59 days,Less than Rs. 1cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.5,60 days to 90 days,Less than Rs. 1cr,General,Taxable
Citi Bank,Foreign Banks,5.5,121 days to 150 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.5,151 days to 180 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.5,46 days to 60 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.5,61 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.5,91 days to 120 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Catholic Syrian Bank,Indian Private Sector Banks,5.5,91 days to 179 days,Less than Rs. 1 cr,General,Taxable
Dhanalakshmi Bank,Indian Private Sector Banks,5.5,91 days to 179 days,Less than Rs. 1 cr,General,Taxable
Dhanalakshmi Bank,Indian Private Sector Banks,5.5,91 days to 179 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,5.5,30 days To 45 days,Less than Rs. 1cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,5.5,46 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,5.5,46 days to 60 days,Rs. 1 cr to 5 cr,General,Taxable
Federal Bank,Indian Private Sector Banks,5.5,30 days to 60 days,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Less than Rs. 1 cr,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,1 Year,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,1 year 1 day - 1 year 3 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,1 Year 16 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,1 year 17 days - 2 Years,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,1 year 5 days - 1 Year 15 Days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,2 Years 16 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,2 years 17 days - 3 Years,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,2 years 1day - 2 Years 15 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,3 years 1days - 5 years,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,5 years 1days - 8 years,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.5,8 years 1 day-10 years,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,180 Days,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,181 days to 269 days,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,270 days to 364 days,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,36 months to less than 37 months,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,365 days,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,366 days to 399 days,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,37 months to less than 48 months,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,401 days to less than 18 months,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,731 days,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,732 days to less than 36 months,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,90 days to 93 days,Less than Rs. 1cr,Senior Citizen,Taxable
HSBC,Foreign Banks,5.5,95 days to 179 days,Less than Rs. 1cr,Senior Citizen,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.5,9 months to less than 1 year,Rs. 1 cr to 5 crs,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.5,Above 1 year to less than 2 years,Rs. 1 cr to 5 crs,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,5.5,31 days to 45 days,Above Rs. 15 lakh to Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,5.5,15 days to 30 days,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,5.5,31 days to 45 days,Less than Rs. 15 lakh,General,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,5.5,121 days to 179 days,Upto Rs. 25 lakh,Senior Citizen,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,5.5,91 days to 120 days,Upto Rs. 25 lakh,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,5.5,31 days to 45 days,Less than Rs. 1 cr,General,Taxable
J&K Bank,Indian Private Sector Banks,5.5,7 days to 30 days,Less than Rs. 1 cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,5.5,271 days to less than 1 year,Rs. 1 cr to less than Rs. 5 cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,5.5,5 years to 10 years,Rs. 1 cr to less than Rs. 5 cr,Senior Citizen,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,5.5,30 days to 90 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Karnataka Bank,Indian Private Sector Banks,5.5,46 days to 90 days,Upto Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,5.5,46 days to 90 days,Less than Rs. 1 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.5,31 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,5.5,61 days to 90 days,Rs. 1 cr and above to Less than Rs. 5 cr,General,Taxable
Karur Vysya Bank,Indian Private Sector Banks,5.5,31 Days to 45 days�,Less than Rs. 1 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Less than Rs. 1 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,5.5,30 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Nainital Bank,Indian Private Sector Banks,5.5,31 days to 45 days,Less than Rs. 15 lakh,General,Taxable
Nainital Bank,Indian Private Sector Banks,5.5,15 days to 30 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.5,46 days to 90 days,Less than Rs. 1 cr,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.5,31 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,5.5,91 days to 180 days,Less than Rs. 25 lakh,General,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,5.5,91 days to 180 days,Less than Rs. 25 lakh,Senior Citizen,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,5.5,46 days to 90 days,Less than Rs. 1cr,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,5.5,7 days to 14 days,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,5.5,7 days to 45 days,Less than Rs. 1 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.5,180 days up to 1 year,1 crore and above but below Rs. 3 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.5,180 days up to 1 year,1 crore and above but below Rs. 3 cr,Senior Citizen,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.5,180 days up to 1 year,3 crore and above,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.5,180 days up to 1 year,3 crore and above,Senior Citizen,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,5.5,7 days to 45 days,Less than Rs. 1cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,121 days to 179 days,Less than Rs. 1cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,61 days to 90 days,Less than Rs. 1cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,91 days to 120 days,Less than Rs. 1cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,1 year exact,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 1 yr to 2 years,Rs. 100 cr and above,General,Taxable
