INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
State Bank of Travancore,Public Sector / Nationalized Banks,7,211 days to less than 1 year,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,7,3 years to less than 5 years,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,7,46 days to 179 days,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,7,5 years to less than 10 years,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,7,1 year exact,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,7,Above 1 yr to 2 years,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,7,Above 5 yrs up to 10 yrs,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,7,Exact 5 yrs,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,7,180 days to 210 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,7,211 days less than 1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,7,3 year and toless than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,7,46 days to 179 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,7,5 year and upto 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,7,180 days to less than 210 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,7,211 days to less than 1 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,7,3 year to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,7,46 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,7,5 year & above upto 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,7,91 days to 179 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7,1 year to 375 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,18 Months to 2 years,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,181 days to 210 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,2 years to 3 years,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,211 days to 226 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,227 days to 269 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,270 days to 345 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,3 years to 4 years,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,346 days to 364 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,376 days to 390 day,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,391 days to less than 18 months,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,4 years to 5 years,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7,105 days to 120 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7,121 days to 149 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7,150 days to 164 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7,165 days to 180 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7,90 days to 104 days,Less than Rs. 1 cr,Senior Citizen,Taxable
South Indian Bank,Indian Private Sector Banks,7,Above 2 years to upto and incl 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,7,180 days to 210 days,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,7,211 days to less than 1 year,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,7,3 years to less than 5 years,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,7,46 days to 179 days,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,7,5 years to less than 10 years,Less than Rs. 1cr,Senior Citizen,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,7,365 days to less than 24 mnths,Less than Rs. 1 cr,General,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,7,Above 24 mths to 60 mths,Less than Rs. 1 cr,General,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,7,Above 60 months,Upto Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7,1 year,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7,20 months 20 days,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7,3 years & Above,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7,Above 1 year to less than 20 months 20 days,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7,Above 20 months 20 days too less than 3 years,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7,TMB - Tax Saving FD - 5 years,Less than Rs. 15 lakh,General,Tax Saving
Union Bank of India,Public Sector / Nationalized Banks,7,1 years,Less than Rs. 1 cr,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,7,10 Month to 14 Month,Less than Rs. 1 cr,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,7,180 days to less than 364 days,Less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,7,Above 2 years upto 3 years,less than Rs. 1 cr,Senior Citizen,Taxable
UCO Bank,Public Sector / Nationalized Banks,7,Above 3 years to less than 5 years,less than Rs. 1 cr,Senior Citizen,Taxable
